Episode,Timestep,Action
0,2,"[[ 1.5275278   0.3994068  -1.4400309  -0.82872236 -0.1331799  -5.1479497
  -0.27787882  0.9322165   0.5479431  -0.18710637 -0.40501994 -0.17385113
  -0.78888184  1.0351081  -1.2374313   1.9773757  -0.7179115  -0.35553783
  -0.8375521  -1.6907578   0.68654126  0.13806695 -1.6488671   2.5361881 ]]"
1,2,"[[ 0.75732666  0.48225164 -1.532484   -0.11761391 -2.0981646  -4.2980638
  -0.4541352   1.2593949   0.8640035  -1.3312914  -0.1059444   1.1403397
  -0.7352211   1.1745517  -2.6708255   0.73501414 -1.292139   -0.99598503
  -1.0134943  -0.15380818 -0.31058854  0.34262645 -0.63956916  1.0309744 ]]"
2,2,"[[ 1.2457197   0.3958156  -1.5022228   0.5268371  -0.45222333 -4.356334
  -0.6084367   0.9383676   1.2011515   0.23694265 -0.1945547   2.03205
  -0.22178072  0.6280449  -1.5882257   2.2362857  -0.4778772  -0.5002397
  -0.8711015  -0.8043558   0.21616106 -0.35670927 -1.7473809   1.1885883 ]]"
3,2,"[[ 0.25421304  0.2028276  -1.9275048   0.24616694 -1.5119008  -3.43032
  -0.2325995   2.0384183   1.4435983  -0.950438   -0.42246607  1.2280133
  -1.1613033   2.779293   -2.237809    1.4147881  -0.46152753 -0.8459673
  -1.332613   -1.2031143   0.506884    0.33190832 -0.00382352  1.8571099 ]]"
4,2,"[[ 0.39695916 -0.6001819  -1.8795195  -0.07638326 -1.5073489  -5.3150454
  -0.10115238  0.10111153  1.0473788  -0.57228386 -0.4172852   0.74736017
  -1.1536728   1.914122   -1.9521382   1.254528   -0.06042069 -2.0539052
  -1.0647055  -0.85114187 -0.90312874  0.3534482  -0.26280648  2.934135  ]]"
5,2,"[[ 1.6180618   0.89541835 -2.0208426   1.1698394  -1.8227587  -3.9240801
  -0.72548115  0.88809884  2.3539205  -0.47293568 -0.7824447   1.4156587
  -0.8245032   0.39283162  0.75090957  1.281225   -0.17458671 -1.0079417
  -0.83448416 -1.5076462   0.24593543  0.02331947 -0.34054717  0.7386056 ]]"
6,2,"[[ 0.8298312   1.3149694  -1.0640187  -1.4304577  -1.3697045  -5.183686
  -0.4212022   0.1875307   1.898484   -0.23184949 -0.14085019  1.0115095
  -0.5821389   1.0945536   0.64166963  1.4277589  -0.48912132 -1.367995
  -1.3791399  -0.98191035 -0.40606612 -0.44356468 -0.41054514  1.2145694 ]]"
7,2,"[[ 0.8631687   1.417578   -2.1760976   0.22710152 -2.7029674  -3.5977511
  -0.12296009 -0.26053667  2.2155752  -0.31841516 -0.07160366 -0.5187735
  -0.7550439   1.8984286  -2.0230503   0.83149225 -0.68739057 -1.2143065
  -1.1384529  -0.7498386   0.98626834 -0.49219555 -0.6073552   1.5037926 ]]"
8,2,"[[ 8.1452441e-01  2.3011458e-01 -1.8309321e+00  5.8551282e-03
  -5.4635310e-01 -4.2426734e+00  1.0517687e-02  2.2268748e+00
   1.2668726e+00 -8.8712066e-01 -2.4321777e-01  9.4125837e-01
  -6.8850040e-01  1.2255056e+00 -2.6239514e+00  2.0398548e+00
  -6.0821265e-01 -9.5328361e-01 -7.2044635e-01 -1.5978284e+00
  -2.3100972e-03  2.4405912e-02 -1.7059574e-01  1.0726371e+00]]"
9,2,"[[ 0.9995836   0.72802985 -1.6878335  -0.11262891  0.41739857 -4.334523
  -0.21290585  1.8814656   1.0187852  -0.23085815  0.06463416  1.3940336
  -0.6420461   0.6042993  -0.67063     2.2433295  -1.2465553  -1.2427729
  -1.9623215  -1.0124782  -0.02679342 -0.02181198 -0.88877165  1.1372104 ]]"
